epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,71800.9,0.36419,0.21011,0.85407,0.99976,1,0.995,0.96157,0.32282,0.1647,0.79888,0.0004754,0.0004754,0.0004754
79,72850.4,0.37249,0.21354,0.85415,0.99976,1,0.995,0.96047,0.32569,0.16569,0.80059,0.0004556,0.0004556,0.0004556
80,73902,0.36049,0.21235,0.8579,0.99975,1,0.995,0.96111,0.32332,0.16197,0.79996,0.0004358,0.0004358,0.0004358
81,74969.2,0.35766,0.20734,0.84859,0.99976,1,0.995,0.96024,0.32555,0.15919,0.80141,0.000416,0.000416,0.000416
82,76039.3,0.36855,0.20574,0.85612,0.99977,1,0.995,0.95851,0.3231,0.16032,0.79951,0.0003962,0.0003962,0.0003962
83,77082.6,0.36314,0.2081,0.85744,0.99956,1,0.995,0.96113,0.32103,0.16127,0.80097,0.0003764,0.0003764,0.0003764
84,78134.3,0.36762,0.21009,0.85406,0.99976,1,0.995,0.95808,0.33154,0.16873,0.80167,0.0003566,0.0003566,0.0003566
85,79183,0.35847,0.20334,0.85322,0.99975,1,0.995,0.95909,0.32569,0.1633,0.79917,0.0003368,0.0003368,0.0003368
86,80236.7,0.36112,0.20279,0.85191,0.99977,1,0.995,0.96085,0.32392,0.161,0.79834,0.000317,0.000317,0.000317
87,81305.7,0.35413,0.20481,0.85187,0.99976,1,0.995,0.96074,0.31981,0.15297,0.79842,0.0002972,0.0002972,0.0002972
88,82370,0.35557,0.1966,0.85328,0.99976,1,0.995,0.9614,0.3186,0.15076,0.79751,0.0002774,0.0002774,0.0002774
89,83434.6,0.358,0.2,0.85254,0.99976,1,0.995,0.96149,0.3186,0.15267,0.79774,0.0002576,0.0002576,0.0002576
90,84506.7,0.35571,0.19571,0.85175,0.99946,1,0.995,0.96149,0.31719,0.15391,0.79713,0.0002378,0.0002378,0.0002378
91,85499.3,0.33019,0.17239,0.8176,0.99975,1,0.995,0.95986,0.31937,0.15473,0.79675,0.000218,0.000218,0.000218
92,86371.6,0.32324,0.16754,0.81055,0.99975,1,0.995,0.96169,0.31662,0.15116,0.79701,0.0001982,0.0001982,0.0001982
93,87277.6,0.32099,0.16755,0.80948,0.99976,1,0.995,0.95684,0.32413,0.15794,0.79764,0.0001784,0.0001784,0.0001784
94,88176.2,0.3183,0.16801,0.81067,0.99976,1,0.995,0.96023,0.32495,0.15938,0.79545,0.0001586,0.0001586,0.0001586
95,89108.8,0.32182,0.16829,0.81366,0.99975,1,0.995,0.95786,0.32333,0.15437,0.79901,0.0001388,0.0001388,0.0001388
96,90678.5,0.31625,0.16521,0.80475,0.99975,1,0.995,0.95833,0.32101,0.15803,0.79882,0.000119,0.000119,0.000119
97,91993.1,0.31571,0.16234,0.81931,0.99974,1,0.995,0.96102,0.32003,0.1566,0.799,9.92e-05,9.92e-05,9.92e-05
98,92892.1,0.31685,0.16451,0.81106,0.99975,1,0.995,0.96225,0.32241,0.15443,0.79762,7.94e-05,7.94e-05,7.94e-05
99,93750.7,0.31497,0.16269,0.81378,0.99975,1,0.995,0.95782,0.31918,0.1529,0.79632,5.96e-05,5.96e-05,5.96e-05
100,94567.8,0.31041,0.15883,0.80312,0.99975,1,0.995,0.95853,0.31769,0.14942,0.79635,3.98e-05,3.98e-05,3.98e-05
