                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.44061,                0.44101,                 1.1205,                0.89562,                0.86467,                0.92813,                0.82472,                0.54377,                0.48939,                  1.203,             0.00044556,             0.00044556,             0.00044556
                     61,                0.44176,                0.44546,                 1.1278,                0.90043,                0.84806,                0.91907,                0.81795,                0.50715,                0.50696,                 1.1152,             0.00044247,             0.00044247,             0.00044247
                     62,                0.45304,                0.45016,                 1.1259,                0.91309,                0.80474,                0.89609,                0.79418,                0.53287,                0.54317,                 1.1667,             0.00043937,             0.00043937,             0.00043937
                     63,                0.44964,                0.46491,                 1.1214,                0.89988,                 0.8494,                 0.9234,                0.81062,                0.52533,                0.51332,                 1.1577,             0.00043628,             0.00043628,             0.00043628
                     64,                0.43178,                0.42959,                 1.1234,                0.89606,                0.86177,                0.93096,                0.83084,                0.50674,                 0.4981,                  1.116,             0.00043319,             0.00043319,             0.00043319
                     65,                0.44344,                 0.4393,                 1.1236,                 0.8971,                0.85544,                0.92084,                0.81059,                0.52078,                0.52556,                 1.1436,             0.00043009,             0.00043009,             0.00043009
                     66,                 0.4259,                 0.4297,                   1.11,                0.85635,                0.86483,                 0.9225,                0.80433,                0.53912,                0.48382,                 1.1567,               0.000427,               0.000427,               0.000427
                     67,                0.42394,                 0.4159,                 1.1028,                0.90177,                0.88454,                0.93898,                0.83975,                0.48606,                0.47119,                 1.0996,             0.00042391,             0.00042391,             0.00042391
                     68,                0.44096,                0.43269,                 1.1168,                 0.9201,                0.84909,                0.91384,                0.81966,                0.49935,                0.45449,                 1.1421,             0.00042081,             0.00042081,             0.00042081
                     69,                0.43709,                0.43063,                 1.1121,                0.92207,                0.85426,                0.93436,                0.83551,                0.49225,                0.44199,                 1.0859,             0.00041772,             0.00041772,             0.00041772
                     70,                0.43496,                0.42209,                 1.1074,                0.93032,                0.87195,                0.93592,                0.83546,                0.52095,                 0.4819,                 1.1475,             0.00041462,             0.00041462,             0.00041462
                     71,                0.42499,                0.41818,                 1.1023,                 0.9424,                0.85574,                0.92558,                0.81152,                0.51931,                0.45403,                 1.1491,             0.00041153,             0.00041153,             0.00041153
                     72,                0.43545,                0.42463,                 1.1201,                0.90539,                0.87396,                0.93159,                 0.8327,                0.50526,                0.47113,                  1.118,             0.00040844,             0.00040844,             0.00040844
                     73,                0.42979,                0.41186,                 1.1142,                0.86528,                0.87657,                0.92065,                0.80552,                0.53916,                0.48768,                 1.1519,             0.00040534,             0.00040534,             0.00040534
                     74,                0.41555,                0.39634,                 1.1011,                0.87593,                0.87981,                0.92927,                0.82446,                0.51752,                0.49052,                 1.1623,             0.00040225,             0.00040225,             0.00040225
                     75,                0.42159,                0.39628,                 1.1038,                0.88292,                0.88227,                0.91878,                 0.8233,                0.50954,                0.48114,                 1.1361,             0.00039916,             0.00039916,             0.00039916
                     76,                0.41701,                0.41398,                 1.1006,                0.89125,                0.87055,                0.92301,                0.80824,                0.53914,                0.45121,                   1.16,             0.00039606,             0.00039606,             0.00039606
                     77,                0.42341,                0.42029,                 1.1036,                0.84616,                0.81824,                0.89804,                0.80698,                0.51409,                0.52409,                 1.1393,             0.00039297,             0.00039297,             0.00039297
                     78,                 0.4042,                0.38686,                 1.0942,                 0.8869,                0.84438,                0.91132,                0.81226,                0.50366,                0.46765,                 1.1132,             0.00038988,             0.00038988,             0.00038988
                     79,                0.40541,                0.38955,                 1.0939,                0.90787,                0.86389,                0.93671,                0.84127,                 0.4889,                0.43879,                 1.1222,             0.00038678,             0.00038678,             0.00038678
                     80,                0.41312,                0.40334,                 1.0903,                0.89872,                0.86991,                0.91502,                 0.8199,                0.50718,                0.47344,                 1.1115,             0.00038369,             0.00038369,             0.00038369
                     81,                0.41744,                0.39178,                 1.1001,                0.87642,                0.86548,                0.91653,                0.81464,                0.49688,                0.49917,                 1.1147,             0.00038059,             0.00038059,             0.00038059
                     82,                0.41233,                0.40175,                  1.095,                0.89113,                0.85933,                0.90754,                 0.8082,                0.52884,                0.48329,                 1.1279,              0.0003775,              0.0003775,              0.0003775
                     83,                0.41206,                0.39068,                 1.1006,                0.90586,                0.87545,                0.92329,                0.82652,                0.49608,                0.45613,                 1.1022,             0.00037441,             0.00037441,             0.00037441
                     84,                0.40776,                0.39178,                 1.0912,                0.93448,                0.82722,                0.92758,                0.81636,                 0.5432,                0.52783,                 1.1386,             0.00037131,             0.00037131,             0.00037131
                     85,                0.40366,                0.39409,                 1.0818,                0.94624,                0.85875,                0.93739,                0.83463,                 0.5209,                0.43231,                 1.1325,             0.00036822,             0.00036822,             0.00036822
                     86,                0.41453,                0.39891,                 1.0943,                 0.9051,                0.86795,                0.92103,                0.82854,                0.51445,                0.47428,                 1.1301,             0.00036513,             0.00036513,             0.00036513
                     87,                0.40283,                 0.3808,                 1.0852,                0.90872,                0.85687,                0.92573,                0.83678,                0.50025,                 0.4502,                 1.1278,             0.00036203,             0.00036203,             0.00036203
                     88,                0.41695,                  0.386,                 1.0985,                0.90228,                0.86204,                0.92812,                0.83158,                0.51369,                0.47739,                 1.1435,             0.00035894,             0.00035894,             0.00035894
                     89,                0.41477,                0.38361,                 1.0945,                0.86829,                0.88305,                0.91396,                0.81854,                0.51496,                0.44957,                 1.1382,             0.00035584,             0.00035584,             0.00035584
                     90,                0.40008,                0.38188,                 1.0923,                 0.8617,                0.86815,                0.92166,                0.82881,                0.49867,                0.47328,                 1.1371,             0.00035275,             0.00035275,             0.00035275
                     91,                0.39815,                0.37868,                 1.0851,                0.89608,                0.87133,                0.92071,                 0.8166,                0.52387,                0.47264,                  1.131,             0.00034966,             0.00034966,             0.00034966
                     92,                0.39788,                0.37853,                  1.088,                0.90321,                0.82664,                 0.9131,                0.80463,                 0.5449,                0.48197,                 1.1578,             0.00034656,             0.00034656,             0.00034656
                     93,                0.39773,                0.36966,                 1.0816,                0.87673,                0.87299,                0.92804,                 0.8291,                0.51618,                0.46325,                 1.1233,             0.00034347,             0.00034347,             0.00034347
                     94,                 0.4088,                0.37278,                 1.0924,                0.90446,                0.87932,                0.93152,                0.82656,                0.50006,                0.44461,                 1.1275,             0.00034038,             0.00034038,             0.00034038
                     95,                0.40368,                0.36771,                 1.0845,                0.92525,                0.88729,                0.93248,                0.83501,                0.51229,                 0.4599,                 1.1423,             0.00033728,             0.00033728,             0.00033728
                     96,                0.39729,                0.35912,                   1.08,                0.85656,                0.90049,                0.92422,                0.81639,                0.53601,                 0.4846,                 1.1367,             0.00033419,             0.00033419,             0.00033419
                     97,                0.38376,                0.37497,                 1.0746,                0.94005,                0.85414,                0.93282,                 0.8341,                0.50586,                0.43436,                 1.1204,             0.00033109,             0.00033109,             0.00033109
                     98,                0.39527,                0.35908,                 1.0761,                0.92383,                0.87199,                0.92511,                0.83568,                0.49463,                0.46327,                 1.0956,               0.000328,               0.000328,               0.000328
                     99,                0.38564,                0.34374,                 1.0778,                0.94535,                0.85666,                0.94098,                 0.8541,                0.51776,                  0.456,                 1.1273,             0.00032491,             0.00032491,             0.00032491
                    100,                0.39423,                  0.353,                 1.0821,                0.87378,                0.87532,                0.93523,                0.85005,                0.49142,                0.46205,                 1.0711,             0.00032181,             0.00032181,             0.00032181
                    101,                0.38822,                0.35932,                 1.0746,                0.89888,                0.86897,                0.92479,                0.81866,                0.51237,                0.47177,                  1.147,             0.00031872,             0.00031872,             0.00031872
                    102,                0.38807,                0.35147,                 1.0736,                 0.9053,                0.88181,                0.93431,                0.84556,                 0.5069,                0.44372,                 1.1058,             0.00031562,             0.00031562,             0.00031562
                    103,                0.38221,                0.35578,                 1.0751,                0.88793,                0.89288,                0.93398,                0.83076,                 0.5077,                0.45521,                 1.1207,             0.00031253,             0.00031253,             0.00031253
                    104,                0.38241,                0.35456,                 1.0764,                0.88537,                0.87834,                0.92931,                0.83395,                0.51287,                 0.4352,                 1.1195,             0.00030944,             0.00030944,             0.00030944
                    105,                0.37508,                 0.3496,                 1.0755,                0.91105,                0.89843,                0.92954,                0.83609,                0.49337,                0.43492,                 1.0927,             0.00030634,             0.00030634,             0.00030634
                    106,                 0.3756,                 0.3282,                 1.0627,                0.94582,                0.88809,                0.93611,                0.84578,                0.48786,                0.40167,                 1.0788,             0.00030325,             0.00030325,             0.00030325
                    107,                0.39061,                 0.3486,                  1.074,                0.90827,                0.88148,                0.93581,                 0.8462,                0.50064,                0.45889,                 1.1072,             0.00030016,             0.00030016,             0.00030016
                    108,                0.37655,                0.34798,                 1.0702,                0.91216,                0.88884,                0.92164,                0.82841,                0.51794,                0.44847,                 1.0995,             0.00029706,             0.00029706,             0.00029706
                    109,                0.38303,                0.35423,                 1.0781,                0.90874,                0.87464,                0.93432,                0.83834,                 0.4983,                0.41324,                 1.1009,             0.00029397,             0.00029397,             0.00029397
                    110,                0.37149,                0.34776,                 1.0709,                0.89344,                0.89102,                0.92658,                 0.8236,                0.50703,                0.45038,                 1.1073,             0.00029088,             0.00029088,             0.00029088
                    111,                0.37267,                0.33902,                 1.0705,                0.89869,                0.87768,                0.92438,                0.82918,                0.49652,                0.45083,                 1.1105,             0.00028778,             0.00028778,             0.00028778
                    112,                0.37109,                0.34207,                 1.0701,                0.90438,                0.87368,                0.93216,                0.84393,                0.48647,                0.44909,                 1.0809,             0.00028469,             0.00028469,             0.00028469
                    113,                0.36959,                0.33709,                 1.0627,                0.90657,                0.87515,                0.93171,                0.84152,                0.48167,                0.44122,                 1.0733,             0.00028159,             0.00028159,             0.00028159
                    114,                0.36954,                 0.3363,                 1.0648,                0.88472,                0.88547,                0.92584,                0.83436,                0.48947,                0.46565,                 1.0878,              0.0002785,              0.0002785,              0.0002785
                    115,                0.36808,                0.33497,                  1.068,                0.89012,                0.87234,                0.92635,                0.84089,                0.49258,                0.46694,                 1.0985,             0.00027541,             0.00027541,             0.00027541
